ID,Назва,Cost (закуп),Supplier Price (RRP),Rozetka Price (поточна),Base Before Round,Final Price (рекоменд.),Target Profit,Net Profit,Comm Used (%),Used RRP?,RRP Fallback?,Old Price Rec.
550052544,Крісло офісне OfficePro Skyline OC680-B-G-G,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052541,Крісло ігрове GamePro GC900DG Fabric Dark Grey,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,16999.0
550052538,Ігрове крісло кокпіт GamePro RS021,2879.22,3599.0,3599,4163.0,4199,575.84,605.95,17.0,False,False,5038.8
550052535,Крісло офісне OfficePro Balance OC550-W-DG-DG,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052532,Крісло офісне OfficePro Elegant OC660-B-DG-DG,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052529,Крісло офісне OfficePro Balance OC550-W-DG-BL,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052526,Крісло офісне OfficePro OC950B Black,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,17999.0
550052523,Крісло ігрове GamePro GC775G Fabric Gray,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052520,Крісло ігрове GamePro GC775DG Fabric Dark Gray,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052517,Крісло GamePro GC715LG,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052514,Крісло офісне OfficePro OC950G Grey,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,17999.0
550052511,Крісло ігрове GamePro GCM140B Black GCM140B,12799.2,15999.0,15999,15999.0,15999,1000.0,1279.92,12.0,True,False,21999.0
550052508,Крісло офісне OfficePro Balance OC550-B-B-B,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052505,Крісло офісне OfficePro Harmony OC310-B-BL-BL,3999.18,4999.0,4999,6024.0,6099,1000.0,1062.99,17.0,False,False,7318.8
550052502,Крісло ігрове GamePro GC760LG Fabric Light Gray,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052499,Крісло офісне OfficePro Elegant OC660-W-DG-DG,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052496,Крісло офісне OfficePro Skyline OC580-B-B-B,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052493,Крісло офісне OfficePro Elegant OC660-B-B-B,6399.18,7999.0,7999,8068.0,8099,700.0,727.94,12.0,False,False,9718.8
550052490,Крісло офісне OfficePro Balance OC620-B-B-B,6799.2,8499.0,8499,8522.0,8599,700.0,767.92,12.0,False,False,10318.8
